Internal ADC,Weight,Stage,Value
ADC0,W0,0.0,0xbeeb
ADC0,W0,1.0,0xdf78
ADC0,W0,2.0,0xefb5
ADC0,W0,3.0,0xf7e2
ADC0,W0,4.0,0xfbf5
ADC0,W0,5.0,0xfdfc
ADC0,W0,6.0,0xfeff
ADC0,W2,0.0,0x410f
ADC0,W2,1.0,0x2087
ADC0,W2,2.0,0x104b
ADC0,W2,3.0,0x81e
ADC0,W2,4.0,0x40a
ADC0,W2,5.0,0x203
ADC0,W2,6.0,0x101
ADC1,W0,0.0,0xbee8
ADC1,W0,1.0,0xdf73
ADC1,W0,2.0,0xefb6
ADC1,W0,3.0,0xf7e2
ADC1,W0,4.0,0xfbf4
ADC1,W0,5.0,0xfdfc
ADC1,W0,6.0,0xfeff
ADC1,W2,0.0,0x4111
ADC1,W2,1.0,0x2085
ADC1,W2,2.0,0x1049
ADC1,W2,3.0,0x81e
ADC1,W2,4.0,0x40a
ADC1,W2,5.0,0x203
ADC1,W2,6.0,0x101
