Internal ADC,Weight,Stage,Value
ADC0,W0,0.0,0xbf08
ADC0,W0,1.0,0xdf81
ADC0,W0,2.0,0xefba
ADC0,W0,3.0,0xf7e4
ADC0,W0,4.0,0xfbf7
ADC0,W0,5.0,0xfdfd
ADC0,W0,6.0,0xfeff
ADC0,W2,0.0,0x40fe
ADC0,W2,1.0,0x2083
ADC0,W2,2.0,0x1047
ADC0,W2,3.0,0x81d
ADC0,W2,4.0,0x40a
ADC0,W2,5.0,0x203
ADC0,W2,6.0,0x100
ADC1,W0,0.0,0xbed0
ADC1,W0,1.0,0xdf63
ADC1,W0,2.0,0xefad
ADC1,W0,3.0,0xf7dd
ADC1,W0,4.0,0xfbf4
ADC1,W0,5.0,0xfdfc
ADC1,W0,6.0,0xfeff
ADC1,W2,0.0,0x4135
ADC1,W2,1.0,0x2099
ADC1,W2,2.0,0x1054
ADC1,W2,3.0,0x822
ADC1,W2,4.0,0x40d
ADC1,W2,5.0,0x204
ADC1,W2,6.0,0x101
